i0	i1	t0	t1	green	orange	blue	barcode	cycle	sampl	discard	drugs	drug1	drug2
892.0	1003.0	589.015	590.005	0.009156	0.028993	0.003052	False	0	0	False			
1862.0	2021.0	598.585	600.235	0.00824	0.002136	0.300913	True	0	0	False			
2228.0	2390.0	602.215	603.865	0.010376	0.00061	0.33722949999999996	True	0	0	False			
2532.0	2658.0	605.185	606.505	0.009766	0.00061	0.315256	True	0	0	False			
2742.0	2939.0	607.495	609.475	0.013733	0.000305	0.445265	True	0	0	False			
3024.0	3169.0	610.135	611.785	0.035096	0.036927	0.005188	False	0	1	False			
3250.0	3383.0	612.445	613.765	0.025636	0.036622	0.003662	False	0	1	False			
3465.0	3611.0	614.755	616.075	0.039064	0.036622	0.003662	False	0	1	False			
3695.0	3840.0	616.735	618.386	0.05005	0.036622	0.003357	False	0	1	False			
3926.0	4057.0	619.045	620.366	0.046693	0.036622	0.003357	False	0	1	False			
4140.0	4278.0	621.358	622.675	0.058596	0.036622	0.003357	False	0	1	False			
4358.0	4503.0	623.665	625.001	0.078127	0.036622	0.003357	False	0	1	False			
4585.0	4728.0	625.645	627.296	0.013733	0.036317	0.003967	False	0	1	False			
4816.0	4953.0	627.955	629.608	0.027161	0.036927	0.003357	False	0	1	False			
5032.0	5174.0	630.265	631.585	0.050966	0.036317	0.003357	False	0	1	False			
5260.0	5380.0	632.575	633.895	0.052034	0.037233	0.003357	False	0	1	False			
5461.0	5631.0	634.555	636.206	0.051271	0.036012	0.003357	False	0	1	False			
6549.0	6684.0	645.446	646.766	0.00824	0.002136	0.288705	True	0	1	False			
6850.0	7012.0	648.416	650.065	0.007019	0.000916	0.211188	True	0	1	False			
7099.0	7277.0	651.055	652.705	0.007019	0.00061	0.194403	True	0	1	False			
7371.0	7532.0	653.699	655.346	0.006714	0.00061	0.188299	True	0	1	False			
7749.0	7928.0	657.327	659.306	0.013733	0.000305	0.447707	True	0	1	False			
8003.0	8132.0	659.966	661.286	0.020753	0.038453	0.006409	False	0	2	False			
8214.0	8351.0	661.947	663.596	0.018311	0.037538	0.005799	False	0	2	False			
8432.0	8571.0	664.256	665.576	0.047304	0.038453	0.004578	False	0	2	False			
8662.0	8799.0	666.566	667.886	0.042726	0.037843	0.004883	False	0	2	False			
8882.0	9017.0	668.876	670.196	0.038148	0.037843	0.004578	False	0	2	False			
9098.0	9229.0	670.857	672.177	0.029298	0.037538	0.004578	False	0	2	False			
9315.0	9460.0	673.167	674.487	0.038759	0.039064	0.004883	False	0	2	False			
9545.0	9703.0	675.477	677.127	0.046388	0.038453	0.004578	False	0	2	False			
9787.0	9931.0	677.787	679.106	0.036927	0.037538	0.004578	False	0	2	False			
10015.0	10153.0	680.096	681.416	0.046999	0.038453	0.004883	False	0	2	False			
10237.0	10367.0	682.407	683.727	0.05005	0.038453	0.004883	False	0	2	False			
